species_guess,image_url
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/145109/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/170500/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/170501/medium.jpg
Ours Noir,https://static.inaturalist.org/photos/176615/medium.jpg
Grizzly Bear,https://static.inaturalist.org/photos/393498/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/393500/medium.jpg
American Pika,https://static.inaturalist.org/photos/534153/medium.jpg
Hoary Marmot,https://static.inaturalist.org/photos/534300/medium.jpg
Osprey,https://static.inaturalist.org/photos/820990/medium.JPG
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/1101470/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/1108271/medium.jpg
Black-billed Magpie,https://static.inaturalist.org/photos/1139274/medium.jpg
Pacific Marten,https://static.inaturalist.org/photos/1139310/medium.jpg
Clark's Nutcracker,https://static.inaturalist.org/photos/1139556/medium.JPG
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/1139559/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/1151925/medium.jpg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/1151957/medium.jpg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/1317231/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/1737037/medium.JPG
Medvěd hnědý,https://inaturalist-open-data.s3.amazonaws.com/photos/1738691/medium.JPG
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/1847714/medium.jpg
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/1847713/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/1890332/medium.JPG
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/1890349/medium.JPG
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/1918216/medium.JPG
mésangeai du Canada,https://inaturalist-open-data.s3.amazonaws.com/photos/1924181/medium.JPG
Brown Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/1924467/medium.jpg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/2185102/medium.jpg
Columbian Ground Squirrel,https://static.inaturalist.org/photos/2185111/medium.jpg
Wapiti,https://static.inaturalist.org/photos/2185115/medium.jpg
Brown Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/2193477/medium.jpg
grand corbeau,https://inaturalist-open-data.s3.amazonaws.com/photos/2193488/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/2413077/medium.jpg
Hoary Marmot,https://inaturalist-open-data.s3.amazonaws.com/photos/2448505/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/2610224/medium.jpg
American Pika,https://inaturalist-open-data.s3.amazonaws.com/photos/2610325/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/2610357/medium.jpg
Mule Deer,https://inaturalist-open-data.s3.amazonaws.com/photos/2610452/medium.jpg
Moose,https://inaturalist-open-data.s3.amazonaws.com/photos/2772628/medium.jpg
Mule Deer,https://inaturalist-open-data.s3.amazonaws.com/photos/2834977/medium.jpeg
White-tailed Ptarmigan,https://inaturalist-open-data.s3.amazonaws.com/photos/3032983/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/3051814/medium.jpeg
